epoch,acc,loss,val_acc,val_loss
0,0.759288991,0.425943107,0.781950576,0.38905228
1,0.786539564,0.383195848,0.785505418,0.382455048
2,0.793965023,0.368853036,0.786709478,0.371269364
3,0.799956995,0.358638645,0.784473367,0.379028725
4,0.805561927,0.349267243,0.795539247,0.372487132
5,0.811367546,0.34272635,0.797201995,0.361445076
6,0.813962156,0.336598456,0.801788888,0.357955364
7,0.819036697,0.332006339,0.802706267,0.349897783
8,0.8234375,0.325726971,0.808325211,0.350340851
9,0.826132454,0.321743499,0.806605126,0.358190583
10,0.829400803,0.317513996,0.81222407,0.348373681
11,0.832239106,0.311694214,0.801846224,0.37240089
12,0.83490539,0.30775154,0.808095866,0.353152269
13,0.837385321,0.303679083,0.807063815,0.346020815
14,0.841298739,0.301544905,0.811994725,0.362667474
15,0.842818234,0.296727177,0.81520555,0.345450736
16,0.845599197,0.293336023,0.817097643,0.355719011
17,0.84740539,0.291075419,0.812052061,0.364634343
18,0.848050459,0.287224223,0.812510751,0.352222833
19,0.85209289,0.282917985,0.81640961,0.352969563
20,0.852508601,0.281533442,0.810217304,0.364550914
21,0.854329128,0.277822103,0.817498997,0.367633583
22,0.857869839,0.274917661,0.815320222,0.352471279
23,0.859475344,0.272535224,0.813886818,0.364035593
24,0.862241972,0.268249964,0.818760392,0.361705181
25,0.863016055,0.266581427,0.819333754,0.361274633
26,0.867345183,0.261895558,0.820537813,0.375582622
27,0.866384748,0.260191618,0.820480477,0.367715572
28,0.867775229,0.258975139,0.823805974,0.351874892
29,0.869911124,0.25495583,0.823805974,0.381118657
30,0.870369839,0.252441658,0.822659251,0.351334777
31,0.87234805,0.250861691,0.823461957,0.37240726
32,0.874512615,0.247926615,0.822429907,0.375668612
33,0.874870986,0.244134214,0.821397856,0.388486213
34,0.876146789,0.243843247,0.824035319,0.380559176
35,0.877580275,0.240345629,0.823920647,0.386833543
36,0.878856078,0.238649142,0.821913881,0.403031312
37,0.88125,0.236446311,0.825640732,0.383093851
38,0.880604931,0.236277948,0.822315234,0.39544052
39,0.882468463,0.233098044,0.822028553,0.392969504
40,0.883858945,0.232448937,0.825583395,0.407262955
41,0.884647362,0.22942798,0.824322,0.395377476
42,0.884461009,0.228419543,0.827131472,0.407730914
43,0.887241972,0.224579844,0.829482254,0.399430477
44,0.887801032,0.223911849,0.828106187,0.410412149
45,0.889377867,0.222428926,0.826787455,0.410693421
46,0.88856078,0.222533561,0.822487243,0.415761367
47,0.888417431,0.220698433,0.827590161,0.429790316
48,0.88959289,0.219657039,0.826443438,0.420377082
49,0.89162844,0.217444452,0.830628978,0.420400614
50,0.891843463,0.214972778,0.825640732,0.434654878
51,0.891212729,0.216075868,0.828966229,0.418100357
52,0.89321961,0.21328319,0.824723353,0.446996115
53,0.89327695,0.211829358,0.823289949,0.453596359
54,0.894567087,0.209478447,0.826615446,0.448665644
55,0.895054472,0.209996353,0.822659251,0.420355683
56,0.895126147,0.208508133,0.829424918,0.422819392
57,0.896674312,0.205855474,0.829883608,0.455246902
58,0.89584289,0.207314079,0.829080901,0.436500116
59,0.899455275,0.202079221,0.825640732,0.462846985
