epoch,acc,loss,val_acc,val_loss
0,0.739578675,0.446979559,0.765124555,0.418912091
1,0.771998028,0.398637624,0.783694111,0.384294589
2,0.793339526,0.368599271,0.795520831,0.35948116
3,0.811447116,0.342698541,0.805742113,0.341637509
4,0.826504283,0.318912095,0.819789688,0.330022082
5,0.841997225,0.298154852,0.825943863,0.324559796
6,0.854944324,0.276923146,0.833195087,0.327979332
7,0.869198748,0.257663508,0.836004602,0.324726874
8,0.882570154,0.237828938,0.836887593,0.334374478
9,0.893877364,0.219305334,0.842586894,0.344063563
10,0.903934588,0.203356059,0.841142001,0.359726529
11,0.912145503,0.187691504,0.843496642,0.355902279
12,0.921342645,0.171787827,0.845235865,0.39112547
13,0.928280639,0.161850242,0.844192331,0.400174688
14,0.935287439,0.147105444,0.84804538,0.413368491
15,0.938257589,0.140367197,0.846894817,0.416821287
16,0.944129081,0.130128871,0.848072138,0.456109663
17,0.948693249,0.120445415,0.847777808,0.486340214
18,0.949668008,0.119554625,0.848981885,0.48555411
19,0.954667951,0.109132309,0.849704332,0.493432028
20,0.957626633,0.102757373,0.850346507,0.51264661
21,0.958326166,0.101796895,0.848125652,0.51395622
22,0.960138072,0.098701597,0.848366468,0.516522645
23,0.962190801,0.094566458,0.849517031,0.51276619
24,0.964862788,0.090049867,0.849249458,0.532911488
25,0.964667836,0.089420364,0.85278142,0.557395004
26,0.967064598,0.084535067,0.850774623,0.558944317
27,0.965654064,0.085839858,0.851336526,0.545416732
28,0.966342129,0.085374547,0.850132449,0.54266789
29,0.967007259,0.085037111,0.85278142,0.563996567
30,0.969232004,0.078012817,0.848714312,0.577487085
31,0.9705852,0.076618072,0.850533808,0.567922933
32,0.96971365,0.078543323,0.851042196,0.565239658
33,0.969805392,0.078374514,0.855992294,0.565558197
34,0.971777847,0.073949917,0.849463516,0.57410877
35,0.968750358,0.078819311,0.84991839,0.576630025
36,0.971961331,0.071575645,0.853343323,0.590830612
37,0.973119574,0.070597122,0.849249458,0.609327864
38,0.972053073,0.073184538,0.847483477,0.597858016
39,0.96950723,0.077703302,0.850400021,0.554224389
40,0.972282428,0.071136013,0.851523827,0.578977578
41,0.97360122,0.070221446,0.85031975,0.601365774
42,0.971881056,0.073283458,0.850266235,0.590744246
43,0.969495763,0.079732146,0.847670778,0.574493409
44,0.97283288,0.071635528,0.847644021,0.596634512
45,0.970642539,0.076156615,0.851925187,0.59799682
46,0.967477437,0.084257887,0.8490354,0.579277261
47,0.977007144,0.061393633,0.850533808,0.631980763
48,0.971846653,0.07377951,0.853423595,0.586842371
49,0.969449892,0.079923347,0.842158778,0.551646773
50,0.968532471,0.081844753,0.853129264,0.572540618
51,0.975837433,0.064538349,0.852915206,0.590286161
52,0.972959026,0.07029402,0.85238006,0.580803437
53,0.973830575,0.070432265,0.85248709,0.583150237
54,0.971800782,0.073474148,0.852808177,0.577244072
55,0.972809945,0.071181274,0.849463516,0.589599057
56,0.972454444,0.074100276,0.85307575,0.584525979
57,0.973234252,0.070053271,0.84775105,0.613077791
58,0.972523251,0.071822406,0.85337008,0.561287826
59,0.973062236,0.071451351,0.853289808,0.587454257
